epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,127.314,1.32418,1.22218,1.57032,0.50523,0.47293,0.51181,0.27537,1.95214,1.86203,2.52825,0.00104705,0.00104705,0.00104705
43,131.483,1.30718,1.27709,1.58554,0.40352,0.40496,0.41022,0.21425,1.97218,2.35712,2.5464,0.0010421,0.0010421,0.0010421
44,134.979,1.29143,1.18894,1.5597,0.54653,0.34373,0.31073,0.13638,2.12003,2.98024,2.7811,0.00103715,0.00103715,0.00103715
45,138.406,1.2368,1.19984,1.52082,0.55543,0.35714,0.33412,0.1582,2.30102,2.82656,3.06833,0.0010322,0.0010322,0.0010322
46,141.656,1.2996,1.18681,1.58425,0.38937,0.48413,0.42254,0.20443,2.09178,1.97715,2.68825,0.00102725,0.00102725,0.00102725
47,144.875,1.31051,1.37734,1.59543,0.45032,0.55556,0.42028,0.19883,2.10348,1.99379,2.69737,0.0010223,0.0010223,0.0010223
48,148.098,1.36623,1.26179,1.61166,0.4774,0.56283,0.46984,0.20283,2.21603,2.12182,2.73018,0.00101735,0.00101735,0.00101735
49,151.304,1.36629,1.29184,1.64956,0.61429,0.5254,0.52071,0.23223,2.00222,1.99926,2.46963,0.0010124,0.0010124,0.0010124
50,154.541,1.27702,1.22339,1.55697,0.62566,0.63463,0.54274,0.25588,1.84246,1.91915,2.32408,0.00100745,0.00100745,0.00100745
51,157.753,1.29485,1.20869,1.56646,0.45029,0.55714,0.55531,0.24627,1.90788,1.88831,2.38818,0.0010025,0.0010025,0.0010025
52,161.279,1.29943,1.16897,1.56742,0.33885,0.33159,0.38513,0.17624,1.94458,1.94897,2.42274,0.00099755,0.00099755,0.00099755
53,164.815,1.25607,1.14278,1.54249,0.44746,0.58038,0.48047,0.2247,2.02768,1.69448,2.50805,0.0009926,0.0009926,0.0009926
54,168.353,1.33401,1.21582,1.5571,0.42502,0.55873,0.55529,0.23982,2.15299,2.30932,2.58297,0.00098765,0.00098765,0.00098765
55,171.876,1.2831,1.1257,1.56469,0.34968,0.47302,0.36724,0.16185,2.17324,2.79825,2.67684,0.0009827,0.0009827,0.0009827
56,175.43,1.32122,1.16742,1.58939,0.48451,0.54595,0.48825,0.24517,1.8954,1.86605,2.39803,0.00097775,0.00097775,0.00097775
57,178.744,1.25067,1.12815,1.54416,0.5349,0.4991,0.51837,0.24307,1.91043,1.70676,2.39117,0.0009728,0.0009728,0.0009728
58,182.178,1.1985,1.09064,1.50738,0.33348,0.53175,0.35217,0.18346,2.22415,2.12367,2.81383,0.00096785,0.00096785,0.00096785
59,185.787,1.18289,1.11567,1.50157,0.40912,0.43651,0.38224,0.16811,2.39216,2.16508,3.17921,0.0009629,0.0009629,0.0009629
