epoch,step,train/cardinality_error,train/loss,train/loss_bbox,train/loss_ce,train/loss_giou,val/cardinality_error,val/loss,val/loss_bbox,val/loss_ce,val/loss_giou
0,4,,,,,,30.22222137451172,3.113893747329712,0.21650205552577972,1.4014447927474976,0.3149692714214325
0,4,77.36943054199219,3.51747465133667,0.2392108142375946,1.6030933856964111,0.35916370153427124,,,,,
1,9,,,,,,2.51111102104187,2.7384884357452393,0.21330104768276215,1.0491385459899902,0.3114224672317505
1,9,12.235669136047363,2.9283640384674072,0.2009541243314743,1.2823046445846558,0.32064440846443176,,,,,
2,14,,,,,,1.0,2.372586965560913,0.19858959317207336,0.7763000726699829,0.3016694188117981
2,14,1.025477647781372,2.767566680908203,0.23301805555820465,0.9432783126831055,0.3295991122722626,,,,,
3,19,,,,,,1.0,1.9913426637649536,0.16060428321361542,0.619791567325592,0.2842647433280945
3,19,1.012738823890686,2.096689462661743,0.16516666114330292,0.7208240032196045,0.27501600980758667,,,,,
4,24,,,,,,1.0,1.6663516759872437,0.13652458786964417,0.5070232152938843,0.2383527308702469
4,24,1.012738823890686,1.7653383016586304,0.1417151838541031,0.5774716138839722,0.23964537680149078,,,,,
5,29,,,,,,1.0,1.7873467206954956,0.15918779373168945,0.45320290327072144,0.2691023647785187
5,29,1.012738823890686,1.6713573932647705,0.1381244659423828,0.4872601628303528,0.2467372864484787,,,,,
6,34,,,,,,1.0,1.713504672050476,0.15804053843021393,0.43454864621162415,0.24437659978866577
6,34,1.012738823890686,1.6376398801803589,0.13987228274345398,0.4511665403842926,0.2435559332370758,,,,,
7,39,,,,,,1.0,1.4993185997009277,0.12758199870586395,0.42839720845222473,0.2165057361125946
7,39,1.012738823890686,1.578141450881958,0.13168711960315704,0.4368065893650055,0.24144960939884186,,,,,
8,44,,,,,,1.0,1.3411459922790527,0.10807885974645615,0.42474547028541565,0.18800315260887146
8,44,1.012738823890686,1.439274549484253,0.11737702041864395,0.4304327368736267,0.21097831428050995,,,,,
9,49,,,,,,1.0,1.308912754058838,0.1037372499704361,0.4153924584388733,0.18741698563098907
9,49,1.012738823890686,1.3465993404388428,0.10810206830501556,0.4257538318634033,0.19016757607460022,,,,,
10,54,,,,,,1.0,1.4354966878890991,0.11865562945604324,0.4120127856731415,0.2151029109954834
10,54,1.012738823890686,1.2630555629730225,0.09638635069131851,0.418881893157959,0.18112103641033173,,,,,
11,59,,,,,,1.0,1.3880078792572021,0.11782404780387878,0.40636566281318665,0.1962609440088272
